id,texts,labels,PREPROCESSED_texts
2529,ürünü bir senedir kullanıyorum ürün ses kötü diyenler herhalde kulaklık üzerindeki ses açma tuşundan sesi açmıyorlar yada bağlandıkları aygıtlarda problem var çünkü ses kalitesi özellikle baslar daha önce kullandığımız ünlü markalardan daha  iyi... ürünün tasarımı spor yapmak için uygun değil boyunda gevşek kalıyor hareket halinde çok sallanıyor... ürün kolları çok hassas boyuna takarken hafif esnetmek gerekiyor bir ay içinde iki tarafı da boyna takarken kırıldı ,negative,ürünü bir senedir kullanıyorum ürün ses kötü diyenler herhalde kulaklık üzerindeki ses açma tuşundan sesi açmıyorlar yada bağlandıkları aygıtlarda problem var çünkü ses kalitesi özellikle baslar daha önce kullandığımız ünlü markalardan daha iyi ... ürünün tasarımı spor yapmak için uygun değil boyunda gevşek kalıyor hareket halinde çok sallanıyor ... ürün kolları çok hassas boyuna takarken hafif esnetmek gerekiyor bir ay içinde iki tarafı da boyna takarken kırıldı
2530,tavsiye etmiyorum arkadaşlar. çünkü yüksek ses vermiyor en yüksek ses %70 ve konuşma esnasında ses kesintisi oluyor,negative,tavsiye etmiyorum arkadaşlar . çünkü yüksek ses vermiyor en yüksek ses %70 ve konuşma esnasında ses kesintisi oluyor
2531,"bluetooth ile müzik kalitesi orta düzeyde ama malzeme kalitesi yerlerde, 1 yıldan fazla süredir kullanıyorum aletin sapları 5-6 kere kırıldı ve farklı yerlerden. yapıştırıyorum başka bir yerden kırılıyor orayı yapıştırıyorum başka bir yerden kırılıyor. artık elime almaya korkar oldum. beklentimin çok altında kalan bir ürün oldu bu sebeple samsung'u kınıyorum bu kadar kalitesiz bir ürün olur. ben aldığıma pişmanım alacak olanlar ya pro modeline bakın yada başka bir ürüne bakın...",negative,"bluetooth ile müzik kalitesi orta düzeyde ama malzeme kalitesi yerlerde , 1 yıldan fazla süredir kullanıyorum aletin sapları 5-6 kere kırıldı ve farklı yerlerden . yapıştırıyorum başka bir yerden kırılıyor orayı yapıştırıyorum başka bir yerden kırılıyor . artık elime almaya korkar oldum . beklentimin çok altında kalan bir ürün oldu bu sebeple samsung'u kınıyorum bu kadar kalitesiz bir ürün olur . ben aldığıma pişmanım alacak olanlar ya pro modeline bakın yada başka bir ürüne bakın ..."
2532,ses kalitesini beğenmedim,negative,ses kalitesini beğenmedim
2533,arkadaslar kucuk bir arastirma surecinin sonunda bu kulakligi satin aldim.,negative,arkadaşlar küçük bir araştırma sürecinin sonunda bu kulaklığı satın aldım .
2534,2 3 gun kullanimin sonunda yazmak zorunda hissettim kendimi.,negative,2 3 gün kullanımın sonunda yazmak zorunda hissettim kendimi .
2535,evden cikarken cuzdandan once kulakligimi aldim mi diye kontrol eden biriyseniz yani surekli muzik dinliyorsaniz bu size kesinlikle yetersiz gelecek. kulakligin resmen sesi cikmiyor. bas falan zaten hikaye. ,negative,evden çıkarken cüzdandan önce kulaklığımı aldım mı diye kontrol eden biriyseniz yani sürekli müzik dinliyorsanız bu size kesinlikle yetersiz gelecek . kulaklığın resmen sesi çıkmıyor . bas falan zaten hikaye .
2536,simdi diyeceksiniz ki neden aldin bluetooth kulaklik. kablolular daha guclu ses cikartiyor.,negative,şimdi diyeceksiniz ki neden aldın bluetooth kulaklık . kablolular daha güçlü ses çıkartıyor .
2537,soyle ki son 6 ayda 3 kulaklik bozdum. kulakligi cikarinca direk cebe koydugumuz icin kesiliyor kablolari bende kablosuz aldim biraz zorunluluktu yani.,negative,şöyle ki son 6 ayda 3 kulaklık bozdum . kulaklığı çıkarınca direk cebe koyduğumuz için kesiliyor kabloları bende kablosuz aldım biraz zorunluluktu yani .
2538,tasarim olarak,negative,tasarım olarak
2539,ben note5 blacksafir kullaniyorum,negative,ben noter blacksafir kullanıyorum
2540,aldigimda mavi siyah modeli baya uydular,negative,aldığımda mavi siyah modeli baya uydular
2541,cok sekil duruyor insanlarin dikkatini baya cekiyor merak uyandiriyor.,negative,çok şekil duruyor insanların dikkatini baya çekiyor merak uyandırıyor .
2542,performans istiyorsaniz almayin,negative,performans istiyorsanız almayın
2543,tasarim orta belki bir tik asagi ses kalitesi o zaman alabilirsiniz.,negative,tasarım orta belki bir tık aşağı ses kalitesi o zaman alabilirsiniz .
2544,"dış ortamlarda konuşurken karşı taraf sesinizi tam olarak duyamayabiliyor,",negative,"dış ortamlarda konuşurken karşı taraf sesinizi tam olarak duyamayabiliyor ,"
2545,iç ortamda sıkıntı yok.,negative,iç ortamda sıkıntı yok .
2546,"tablet, telefon bağlantısı gayet basit.",negative,"tablet , telefon bağlantısı gayet basit ."
2547,laptop da windows işletim sisteminde bağlantı sıkıntısı var,negative,laptop da windows işletim sisteminde bağlantı sıkıntısı var
2548,henüz spor yaparken deneme şansım olmadı.,negative,henüz spor yaparken deneme şansım olmadı .
2549,tasarım olarak harika ama görüşmelerde sürekli kesinti oluyor müzik hiç dinleyemiyorum aldığıma pişman oldum tavsiye etmem.,negative,tasarım olarak harika ama görüşmelerde sürekli kesinti oluyor müzik hiç dinleyemiyorum aldığıma pişman oldum tavsiye etmem .
2550,aldım 4 gün sonra geldi ses düzeyi beni hiç tatmib etmedi eyer yüksek sesle müzik dinleyen biriyseniz tavsiye etmem yorum yapan arkadaşlara güvendim aldım hepsi sesi yüksek çıkıyor diyo ama öyle bişey yok sesi az çıkıyor.,negative,aldım 4 gün sonra geldi ses düzeyi beni hiç tatmin etmedi eyer yüksek sesle müzik dinleyen biriyseniz tavsiye etmem yorum yapan arkadaşlara güvendim aldım hepsi sesi yüksek çıkıyor diyor ama öyle bir şey yok sesi az çıkıyor .
2551,"malzeme kalitesi mükemmel ama kulaklıklar kulakta durmuyor, iyi bir tasarım olmamış. ses seviyesi kablolu kulaklık kadar iyi değil. tavsiye etmiyorum.",negative,"malzeme kalitesi mükemmel ama kulaklıklar kulakta duruyor , iyi bir tasarım olmamış . ses seviyesi kablolu kulaklık kadar iyi değil . tavsiye etmiyorum ."
2552,telefonu güncelledikten sonra bir kaç uygulama yükleyince hemen hafıza sıkıntısı oluyor. siz ne kadar sd kart takarsanız da bu var malesef. yeni uygulama yüklemekte güçlük çekiliyor. ne yazık ki öneremeyeceğim. piyasada 16 gb olan eşdeğer fiyatta güzel ürünler var.,negative,telefonu güncelledikten sonra bir kaç uygulama yükleyince hemen hafıza sıkıntısı oluyor . siz ne kadar sd kart takarsanız da bu var maalesef . yeni uygulama yüklemekte güçlük çekiliyor . ne yazık ki öneremeyeceğim . piyasada 16 gb olan eşdeğer fiyatta güzel ürünler var .
2553,kullanışlı değil,negative,kullanışlı değil
2554,iki kere çekip bıraktım dağıldı kötü işçilik berbat,negative,iki kere çekip bıraktım dağıldı kötü işçilik berbat
2555,aracım toyota hiç kullanışlı değil boşuna almayın,negative,aracım toyota hiç kullanışlı değil boşuna almayın
2556,araç havalandırmasına tam ve sağlam şekilde oturmuyor.,negative,araç havalandırmasına tam ve sağlam şekilde oturmuyor .
2557,çok kullanışlı değil  fiyatını haketmeyen bir ürün,negative,çok kullanışlı değil fiyatını haketmeyen bir ürün
2558,ürünü wolksvagen cc marka aracıma taktım. ancak telefon ağırlığı ile birlikte hemen düşüyor: o nedenle kullanamıyorum. ,negative,ürünü wolksvagen cc marka aracıma taktım . ancak telefon ağırlığı ile birlikte hemen düşüyor : o nedenle kullanamıyorum .
2559,opel astra aracımda olmadı.havalandırma ızgarasına tutturdum ve telefonu taktım.i̇lk tümsekte telefonla birlikte düştü.tutucu kısmın daha uzun olması gerekiyordu.çok kısa kalmış bu şekilde.,negative,opel astra aracımda olmadı . havalandırma ızgarasına tutturdu ve telefonu taktım . ilk tümsekte telefonla birlikte düştü . tutucu kısmın daha uzun olması gerekiyordu . çok kısa kalmış bu şekilde .
2560,"maalesef bir süre kullandıktan sonra küt diye arkasındaki havalandırmaya takılan uç bollaştı ve artık tutmuyor. çok memnun olmamıza rağmen şu anda kullanılamaz durumda. dizayn çok iyi, fikir de çok iyi ancak arkadaki tutacak kısmının bir kaç ay kullanımdan sonra bollaşması ürünü çöpe gönderiyor.",negative,"maalesef bir süre kullandıktan sonra küt diye arkasındaki havalandırmaya takılan üç bollaştı ve artık tutmuyor . çok memnun olmamıza rağmen şu anda kullanılamaz durumda . dizayn çok iyi , fikir de çok iyi ancak arkadaki tutacak kısmının bir kaç ay kullanımdan sonra bollaşması ürünü çöpe gönderiyor ."
2561,urun elime gectikten sonraki izlenimlerim,negative,ürün elime geçtikten sonraki izlenimlerim
2562,1_soguk havada kullanmak isterseniz telefonunuz bildiginiz yaniyo sicaktan,negative,1_soğuk havada kullanmak isterseniz telefonunuz bildiğiniz yanıyor sıcaktan
2563,2-takip cikarmasi sorun yaratmiyo saglam bi yapisi var biraz zorlarsaniz giris bolumleri yirtilabiliyo haberiniz olsun,negative,2-takip çıkarması sorun yaratmıyor sağlam bir yapısı var biraz zorlarsanız giriş bölümleri yırtılabiliyor haberiniz olsun
2564,3-urun ufak bi sey olmasina ragmen gereksiz pahali haberiniz  olsun,negative,3-ürün ufak bir şey olmasına rağmen gereksiz pahalı haberiniz olsun
2565,ürünü note 3 i̇çin aldım. şuana kadar gözlemlediğim kusuru : havalandırma  izgaralarına geçen plastik aksamın içinde keskin saç plakalar olduğundan birkaç kez tak çıkar yapınca içteki saç plakalar plastiği kesiyor ve düşüyor. izgaralar geçen yerler çıplak kalıyor. tek ve önemli eksiği bence bu.,negative,ürünü note 3 için aldım . şuana kadar gözlemlediğim kusuru : havalandırma ızgaralarına geçen plastik aksamın içinde keskin saç plakalar olduğundan birkaç kez tak çıkar yapınca içteki saç plakalar plastiği kesiyor ve düşüyor . ızgaralar geçen yerler çıplak kalıyor . tek ve önemli eksiği bence bu .
2566,fiyatı işlevine göre yüksek. araç içinde çok sağlam bir tutma söz konusu değil. resimler güvenilir hissi verse de önceden bir arkadaşımda görmüş olsam almazdım. ancak telefonu yolculuk boyunca hiç ellemiyecekseniz ortalıkta durmasın diye belki alınabilir.,negative,fiyatı işlevine göre yüksek . araç içinde çok sağlam bir tutma söz konusu değil . resimler güvenilir hissi verse de önceden bir arkadaşımda görmüş olsam almazdım . ancak telefonu yolculuk boyunca hiç ellemeyecekseniz ortalıkta durmasın diye belki alınabilir .
2567,"renault megane var bende. ya benim aracımın havalandırma girişlerinde sorun var, ya da bu tip ürünlerin genel problemi tutmuyor büyük boyutlu telefonları. en azından benim aracıma ve iphone 6 plus sahibi olanlara önermeyim",negative,"renault megane var bende . ya benim aracımın havalandırma girişlerinde sorun var , ya da bu tip ürünlerin genel problemi tutuyor büyük boyutlu telefonları . en azından benim aracıma ve ıphone 6 plus sahibi olanlara önereyim"
2568,kötü değil ancak kesinlikle fiyatının karşılığı olan bir ürün değil.. çok daha ucuza aynı işlevi sağlayanlar var.,negative,kötü değil ancak kesinlikle fiyatının karşılığı olan bir ürün değil . . çok daha ucuza aynı işlevi sağlayanlar var .
2569,ben iki haftadır aktif kullanıyorum.. cihazın artıları çok ama ben ismine ve fiyatına yakışmayacak kusurlarını sizlerle paylaşmak istiyorum..,negative,ben iki haftadır aktif kullanıyorum . . cihazın artıları çok ama ben ismine ve fiyatına yakışmayacak kusurlarını sizlerle paylaşmak istiyorum . .
2570,herkesinde dediği gibi telefon bildiğiniz ısınıyor.. ben iş gereği iki telefon kullanıyordum sony xperia z5 dual çift sim kartlı olduğu için iki hattımı bir telefonda kullanabilirim diye düşündüm ama telefonun çift sim kartınıda aktif kullandığınız zaman telefon kasılıyor ve donmalar yaşanıyor bu yüzden tekrar iki telefon taşımaya başladım.. sosyal medya hesaplarında (facebook instegram twiter google youtube) üç beş dakika gezindiğiniz zaman program yanıt vermiyor diyerek programdan çıkışa zorluyor ve kapatmak zorunda kalıyorsunuz.. ve kamera.. koskoca sony cepte taşınan kamera anı yakalamak içindir ama sonyde o an dan müsade almanız lazım kamerayı üç beş dakikaya ortama ayarlıyorsunuz ne gereği var ben o anı kaçırdıktan sonra bence 23 megapiksellik bir fiyasko.. saygılar,negative,herkesin de dediği gibi telefon bildiğiniz ısınıyor . . ben iş gereği iki telefon kullanıyordum sony xperia z5 dual çift sim kartlı olduğu için iki hattımı bir telefonda kullanabilirim diye düşündüm ama telefonun çift sim kartını da aktif kullandığınız zaman telefon kasılıyor ve donmalar yaşanıyor bu yüzden tekrar iki telefon taşımaya başladım . . sosyal medya hesaplarında ( facebook ınstagram twitter google youtube ) üç beş dakika gezindiğiniz zaman program yanıt vermiyor diyerek programdan çıkışa zorluyor ve kapatmak zorunda kalıyorsunuz . . ve kamera . . koskoca sony cepte taşınan kamera anı yakalamak içindir ama sonyde o an dan müsaade almanız lazım kamerayı üç beş dakikaya ortama ayarlıyorsunuz ne gereği var ben o anı kaçırdıktan sonra bence 23 megapiksellik bir fiyasko . . saygılar
2571,sarj az gidiyor.kamera 23 megapiksel diyor ama değil. bence al gör.,negative,şarj az gidiyor . kamera 23 megapiksel diyor ama değil . bence al eğer .
2572,"selamlar, ürün ilk geldiğinde hemen telefonu takıp 360 derece bir video açtım, inanın bana hayalleriniz suya düşüyor. telefondan video izlemekle hiçbir farkı yok. hissiyat sıfır. telefonum kavisli olduğun (lg g4) kaynaklandığını düşünüp başka telefona taktım. sonuç yine aynı. denemek amaçlı bile olsa fov değeri yüksek, lensi kaliteli, pahalı modelleri tercih edin, bu tür çin malı vr box lar işe yaramıyor. artık eve gelen misafir çocuklarına oynasınlar diye vermekten başka bir işe yaramaz.",negative,"selamlar , ürün ilk geldiğinde hemen telefonu takip 360 derece bir video açtım , inanın bana hayalleriniz suya düşüyor . telefondan video izlemekle hiçbir farkı yok . hissiyat sıfır . telefonum kavisli olduğun ( lg g4 ) kaynaklandığını düşünüp başka telefona taktım . sonuç yine aynı . denemek amaçlı bile olsa fov değeri yüksek , lensi kaliteli , pahalı modelleri tercih edin , bu tür çin malı var boxlar işe yaramıyor . artık eve gelen misafir çocuklarına oynasınlar diye vermekten başka bir işe yaramaz ."
2573,lensler kalitesiz sağa sola ileri geri ayarlama kısmı yetersiz.. fakat fiyatına göre denemek için alabilirsiniz.. daha iyisini kullandığım için bana yetersiz geldi..,negative,lensler kalitesiz sağa sola ileri geri ayarlama kısmı yetersiz . . fakat fiyatına göre denemek için alabilirsiniz . . daha iyisini kullandığım için bana yetersiz geldi . .
2574,"pişmanım !!! ucuz diye aldım ram ve işlemci hızına bakarak aldım fakat telefonun uygulamaları bildirim sesi sinek vızıltısı gibi müzik dinlerken video izlerken ses açma kapatma tuşunu kullanmadan ses açma ve kapama yapamıyorsunuz, menüde gezinirken bir anda garip bir ses çıkıp kesiliyor üst kısayol sekmesinde ekle kaldır yapamıyorsunuz güncelleme desteği sıfır 5.0 ilk açılış daha sonra 5.1 e geçiyor ama değişen hiçbirşey olmuyor yazılım desteğide sıfır telefon piyasaya çıktıktan 6 ay sonra aldım hala bir düzeltme yok, kamerası bildiğin vga kamerası gibi çekim yapıyor onun yerine arkasına tost makinesi koysalar daha hayırlı olurdu arada bir ekmek kızartırdık velhasıl kelam almayın he tek beğendiğim bir özelliği var ses kalitesi çok iyi dolby ses desteği demo olarak telefonda mevcut ama her türlü müzikte felan dolby ses frekansı ile çalıştırmıyor sadece göz boyama amaçlı.",negative,"pişmanım ! ! ! ucuz diye aldım ram ve işlemci hızına bakarak aldım fakat telefonun uygulamaları bildirim sesi sinek vızıltısı gibi müzik dinlerken video izlerken ses açma kapatma tuşunu kullanmadan ses açma ve kapama yapamıyorsunuz , menüde gezinirken bir anda garip bir ses çıkıp kesiliyor üst kısayol sekmesinde ekle kaldır yapamıyorsunuz güncelleme desteği sıfır 5.0 ilk açılış daha sonra 5.1 e geçiyor ama değişen hiçbirşey olmuyor yazılım desteği de sıfır telefon piyasaya çıktıktan 6 ay sonra aldım hala bir düzeltme yok , kamerası bildiğin vga kamerası gibi çekim yapıyor onun yerine arkasına tost makinesi koysalar daha hayırlı olurdu arada bir ekmek kızartırdık velhasıl kelam almayın he tek beğendiğim bir özelliği var ses kalitesi çok iyi dolby ses desteği demo olarak telefonda mevcut ama her türlü müzikte falan dolby ses frekansı ile çalıştırmıyor sadece göz boyama amaçlı ."
