id,texts,labels,PREPROCESSED_texts,TOPIC_PREPROCESSED_texts,KEYWORDS_PREPROCESSED_texts,KEYWORDS_texts
4285,ürürnü smart oldugu için tercih ettim ancak sistemi çok yavaş ve üzerindeki youtube uygulamasında görüntü pixel seçenegi yok istediginiz gbi kullanamıyorsunuz intenet trayıcısından youtubeye girememe gibi yazılım sıkıntıları var uygulama mazası bom boş bi crome yok adblook kullanamıyosunuz sisetm aşırı yavaş işliyo beyni çok geri belki yazılıssal belki donanımsal bilemiyorum akıllı klavye almıştım yanında gerek yokmuş akıllı tv telefon yazılımı çok güzel ama baglantı çok yavaş mouse ile bi yere yönleniyossunuz donmalı kasmalı gidiyo bu yavaşlık en büyük pişmanlıgım ama filim izlemek için almıştım filimi açana kadar sıkıntı birde internette filim buma işini ayarlama donma kasmadan dolayı tatmin etmiyo onun haricinde görüntü kalitesi ekran boyu vs lg kalitesi kllanıma baglı açıkçası çok memnun kalmadım unutmadan wifi baglantısı da çok kötü pc den 1080 izledigim filimi tv de açıyorum 240 360 p anca açıyo kabo baglamayı denicem inş olur ama smart tv lerde genel bi durummuş bilemiyorum uydu performanssını bilemiyorum dedigim gibi filim için aldım açıkçası çokk memnun kalmadım yazılımsal güncelleme inş gelir lg kalitesine bu yazılım rezaleti yakışmadı kullanıma göre alınablir ,negative,ürünü smart olduğu için tercih ettim ancak sistemi çok yavaş ve üzerindeki youtube uygulamasında görüntü pixel seçeneği yok istediğin gibi kullanamıyorsunuz internet tarayıcısından youtubeye girememe gibi yazılım sıkıntıları var uygulama maaşı bom boş bir chrome yok Adblock kullanamıyorsunuz sistem aşırı yavaş işliyor beyni çok geri belki yazılışsal belki donanımsal bilemiyorum akıllı klavye almıştım yanında gerek yokmuş akıllı tv telefon yazılımı çok güzel ama bağlantı çok yavaş mouse ile bir yere yönleniyorsunuz donmalı kasmalı gidiyor bu yavaşlık en büyük pişmanlığı ama filim izlemek için almıştım filimi açana kadar sıkıntı birde internetten filim bulma işini ayarlama donma kasmadan dolayı tatmin etmiyor onun haricinde görüntü kalitesi ekran boyu vs lg kalitesi kullanıma bağlı açıkçası çok memnun kalmadım unutmadan wifi bağlantısı da çok kötü pc den izlediğim filimi tv de acıyorum p anca açıyor kaba bağlamayı denicem inş olur ama smart tvlerde genel bir durummuş bilemiyorum uydu performansını bilemiyorum dediği gibi filim için aldım açıkçası çok memnun kalmadım yazılımsal güncelleme inş gelir lg kalitesine bu yazılım rezaleti yakışmadı kullanıma göre alınabilir,27,"[('ürünü smart olduğu', 9.0), ('smart tvlerde genel', 9.0), ('büyük pişmanlığı', 4.0), ('aldım açıkçası', 4.0), ('yavaş mouse', 3.5), ('filim izlemek', 3.5), ('yavaş', 1.5), ('filim', 1.5), ('geri', 1.0), ('yazılışsal', 1.0)]","[('ürürnü smart oldugu', 9.0), ('büyük pişmanlıgım', 4.0), ('yavaş mouse', 3.5), ('filim izlemek', 3.5), ('yavaş', 1.5), ('filim', 1.5), ('geri', 1.0), ('yazılıssal', 1.0), ('güzel', 1.0), ('baglantı', 1.0)]"
4286,"lg televizyonda bir numara.i̇ki lg tvim var.hiç bir sıkıntı çıkmadı.salon için büyük ekran olsun diye bunu aldım ama tam bir felaket.kanal geçişleri,menü geçişleri çok yavaş.bu modelden uzak durun bunun yerine sıradan bir marka bile işinizi görür.",negative,lg televizyonda bir numarai̇ki lg tim varhiç bir sıkıntı çıkmadısalon için büyük ekran olsun diye bunu aldım ama tam bir felaketkanal geçişlerimenü geçişleri çok yavaşbu modelden uzak durun bunun yerine sıradan bir marka bile işinizi görür,17,"[('büyük ekran olsun', 9.0), ('felaketkanal geçişlerimenü geçişleri', 9.0), ('lg televizyonda', 4.0), ('sıkıntı çıkmadısalon', 4.0), ('yerine sıradan', 4.0), ('aldım', 1.0), ('tam', 1.0)]","[('büyük ekran olsun', 9.0), ('modelden uzak durun', 9.0), ('lg televizyonda', 4.0), ('sıkıntı çıkmadı', 4.0), ('kanal geçişleri', 4.0), ('menü geçişleri', 4.0), ('yerine sıradan', 4.0), ('numara', 1.0), ('salon', 1.0), ('aldım', 1.0)]"
4287,bu kadar yavaş bir televizyon hiç görmedim. kumanda tuşuna basmaktan korkuyorum. sadece kanal geçişleri değil smart özellikleri de inanılmaz derecede yavaş. teknolojiden soğudum doğrusu...,negative,bu kadar yavaş bir televizyon hiç görmedim kumanda tuşuna basmaktan korkuyorum sadece kanal geçişleri değil smart özellikleri de inanılmaz derecede yavaş teknolojiden soğudum doğrusu,29,"[('kadar yavaş', 4.0), ('televizyon', 1.0)]","[('teknolojiden soğudum doğrusu', 9.0), ('inanılmaz derecede yavaş', 8.5), ('kadar yavaş', 4.5), ('televizyon', 1.0), ('görmedim', 1.0)]"
4288,"lg tvlerin garantisi bitince arıza yapıyor, iki tane lg aldım. i̇kisinden de garanti bitti arıza yaptı.",negative,lg tvlerin garantisi bitince arıza yapıyor iki tane lg aldım ikisinden de garanti bitti arıza yaptı,5,[],"[('tane lg aldım', 9.0), ('i̇kisinden', 1.0)]"
4289,dün ulaştı kurulumunu yaptırdım kargo servis sıkıntısı yaşamadım amaa tv nin kaşısına geçtim inceledim izledim 10 numara beş yıldız rezalet teknolojiye yakın olanlar kırar bu tv yi 90 ların bilgisayarları gibi işlem yap git çay koy tek özelliği büyük oda bişeye yaramıyor almayınnn...,negative,dün ulaştı kurulumunu yaptırdım kargo servis sıkıntısı yaşamadım ama tvnin karşısına geçtim inceledim izledim numara beş yıldız rezalet teknolojiye yakın olanlar kırar bu tvyi larin bilgisayarları gibi işlem yap git çay koy tek özelliği büyük oda birşeye yaramıyor almayınnn,24,"[('tvyi larin bilgisayarları', 9.0)]",[]
4290,"daha 3 gün oldu geleli, o kadar yavaş ki insanı fıtık ediyor menülerin açılması, menüler arasında geçişler acayip yavaş. bazen kendi kendine kapanıyor, bazen yeniden başlıyor. kanal geçişleri rahat 2 sn sürüyor. yani anlayacağınız boşa para vermiş olursunuz. bu kanal geçişleri hızlı diyenleri anlamak zor, neresi hızlı bunun.",negative,daha gün oldu geleli o kadar yavaş ki insanı fıtık ediyor menülerin açılması menüler arasında geçişler acayip yavaş bazen kendi kendine kapanıyor bazen yeniden başlıyor kanal geçişleri rahat sn sürüyor yani anlayacağınız boşa para vermiş olursunuz bu kanal geçişleri hızlı diyenleri anlamak zor neresi hızlı bunun,49,[],"[('o kadar yavaş', 9.0), ('bazen yeniden başlıyor', 9.0), ('neresi hızlı', 4.0)]"
4291,ürünümgeldi ama kurulum için servis problem çünkü lg servislerine ulaşmak çok zor müşteri hizmetleri dr bu konuda yetersiz. ürünüm geldikten 2 gün sonra servise ulaşabildim yani kısacası ürün sipariş tarihi ve kurum yaklaşık 10 gün sürdü ve bu yeterince sıkıcı bir durum. ,negative,ürünümgeldi ama kurulum için servis problem çünkü lg servislerine ulaşmak çok zor müşteri hizmetleri dr bu konuda yetersiz ürünüm geldikten gün sonra servise ulaşabildim yani kısacası ürün sipariş tarihi ve kurum yaklaşık gün sürdü ve bu yeterince sıkıcı bir durum,18,"[('lg servislerine ulaşmak', 9.0), ('servis problem', 4.0), ('yeterince sıkıcı', 4.0), ('ürünümgeldi', 1.0), ('kurulum', 1.0), ('durum', 1.0)]","[('lg servislerine ulaşmak', 9.0), ('servis problem', 4.0), ('konuda yetersiz', 4.0), ('yeterince sıkıcı', 4.0), ('ürünümgeldi', 1.0), ('kurulum', 1.0), ('durum', 1.0)]"
4292,"ürünün uydu alıcısı yokmuş, seçerken dikkatimden kaçmış, bayağı üzüldüm. görüntü güzel gibi fakat görüntüde beni rahatsız eden birşeyler oldu. sanki dikkatli baktığında çift görür gibisin . yani çok hoşuma gitmedi. i̇lgilenenlere duyurulur.",negative,ürünün uydu alıcısı yokmuş seçerken dikkatimden kaçmış bayağı üzüldüm görüntü güzel gibi fakat görüntüde beni rahatsız eden birşeyler oldu sanki dikkatli baktığında çift görür gibisin yani çok hoşuma gitmedi ilgilenenlere duyurulur,47,"[('fakat görüntüde', 4.0)]","[('seçerken dikkatimden kaçmış', 9.0), ('bayağı üzüldüm', 4.0), ('görüntü güzel', 4.0), ('fakat görüntüde', 4.0), ('hoşuma gitmedi', 4.0), ('i̇lgilenenlere duyurulur', 4.0)]"
4293,wifi yok ona göre alın ,negative,wifi yok ona göre alın,3,"[('wifi yok', 4.0), ('göre alın', 4.0)]","[('wifi yok', 4.0), ('göre alın', 4.0)]"
4294,karanlik sahnelerde ışık sızması yaşıyorum. parlak renklerde sıkıntı yok. ama revenant filmini altyazılı olarak izlerken karanlık sahnelerde altyazıların geçişlerinde cok fazla ışık sızması oldugunu farkettim,negative,karanlık sahnelerde ışık sızması yaşıyorum parlak renklerde sıkıntı yok ama revenant filmini altyazılı olarak izlerken karanlık sahnelerde altyazıların geçişlerinde çok fazla ışık sızması olduğunu farkettim,3,[],[]
4295,görüntü ve ses kalitesi iyi,negative,görüntü ve ses kalitesi iyi,45,"[('ses kalitesi iyi', 9.0), ('görüntü', 1.0)]","[('ses kalitesi iyi', 9.0), ('görüntü', 1.0)]"
4296,geçişler yavaş,negative,geçişler yavaş,49,"[('geçişler yavaş', 4.0)]","[('geçişler yavaş', 4.0)]"
4297,kumanda fena değil ,negative,kumanda fena değil,45,"[('kumanda fena değil', 9.0)]","[('kumanda fena değil', 9.0)]"
4298,kanal hafızası ve menüler sıkıntılı ,negative,kanal hafızası ve menüler sıkıntılı,18,"[('kanal hafızası', 4.0), ('menüler sıkıntılı', 4.0)]","[('kanal hafızası', 4.0), ('menüler sıkıntılı', 4.0)]"
4299,böyle bir markadan bunu beklemezdim,negative,böyle bir markadan bunu beklemezdim,36,"[('böyle', 1.0), ('markadan', 1.0), ('beklemezdim', 1.0)]","[('böyle', 1.0), ('markadan', 1.0), ('beklemezdim', 1.0)]"
4300,aldık bir kere idare edeceğiz,negative,aldık bir kere idare edeceğiz,4,"[('kere idare edeceğiz', 9.0), ('aldık', 1.0)]","[('kere idare edeceğiz', 9.0), ('aldık', 1.0)]"
4301,tavsi̇ye edemem..!,negative,tavsiye edemem,0,"[('tavsiye edemem', 4.0)]","[('tavsi̇ye edemem', 4.0)]"
4302,tv  çok beyaz gösteriyor insan suratları nerdeyse beyaz gibi ses idare eder ama görüntü beyazımsı  trt 4k sı iyi gösterdi tek artısı o,negative,tv çok beyaz gösteriyor insan suratları neredeyse beyaz gibi ses idare eder ama görüntü beyazımsı trt k si iyi gösterdi tek artısı o,26,"[('ses idare eder', 9.0)]","[('ses idare eder', 9.0)]"
4303,kesinlikle uzak durun.patron ben olsaydım tüm mühendisleri kovardım.en düşük resim modunda dahi gozleri rahatsız edici parlaklığı var. yüzler parlıyor.,negative,kesinlikle uzak durunpatron ben olsaydım tüm mühendisleri kovardımen düşük resim modunda dahi gözleri rahatsız edici parlaklığı var yüzler parlıyor,28,"[('kesinlikle uzak durunpatron', 9.0), ('olsaydım', 1.0)]","[('kesinlikle uzak durun', 9.0), ('düşük resim modunda', 9.0), ('mühendisleri kovardım', 4.0), ('yüzler parlıyor', 4.0), ('patron', 1.0), ('olsaydım', 1.0)]"
4304,"güzel şirin bir buzdolabı ama arka kısmı telli, kapalı değil yani. ayrıca eski buzdolabım çok sesli çalıştıgından dolayı değiştirmiştim bundaki seste biraz kulagıma geliyor gibi belki buzdolabı sesine hassaslıgım artıgından dolayı olabilir, onun için problem olarak görmüyorum, yine içinde bir tane raf demiri var keşke iki tane olsaydı çünkü alt tarafa koyunca camın üzerine geliyor kırılma riski var.",negative,güzel şirin bir buzdolabı ama arka kısmı telli kapalı değil yani ayrıca eski buzdolabım çok sesli çalıştığından dolayı değiştirmiştim bundaki seste biraz kulağıma geliyor gibi belki buzdolabı sesine hassaslığım artığından dolayı olabilir onun için problem olarak görmüyorum yine içinde bir tane raf demiri var keşke iki tane olsaydı çünkü alt tarafa koyunca camın üzerine geliyor kırılma riski var,25,"[('ayrıca eski buzdolabım', 9.0), ('güzel şirin', 4.0), ('tane olsaydı', 4.0), ('buzdolabı', 1.0)]","[('arka kısmı telli', 9.0), ('ayrıca eski buzdolabım', 9.0), ('problem olarak görmüyorum', 9.0), ('güzel şirin', 4.0), ('kapalı değil', 4.0), ('yine içinde', 4.0), ('tane olsaydı', 4.0), ('buzdolabı', 1.0), ('onun', 1.0)]"
4305,iyi yikamiyor fiyati uygun ama yikama performansi kotu ,negative,iyi yıkamıyor fiyatı uygun ama yıkama performansı kötü,46,"[('yıkama performansı kötü', 9.0)]","[('yikama performansi kotu', 9.0)]"
4306,ilk iki uc yikamada iyiydi sonralari tuzunu parlaticisini eksik etmedigim halde filtresini temizledigim halde bulasiklardaki kaba kiri telle yikayip makineye koydugum halde bulasiklar ustunde ozellikle cam bulasiklar uatunde tortu kaldi yikamiyor . pisman oldum aldigima.,negative,ilk iki üç yıkamada iyiydi sonraları tuzunu parlatıcısını eksik etmediğim halde filtresini temizlediğim halde bulaşıklardaki kaba kuru telle yıkayıp makineye koyduğum halde bulaşıklar üstünde özellikle cam bulaşıklar uatunde tortu kaldı yıkamıyor pişman oldum aldığıma,12,"[('ilk', 1.0)]","[('pisman oldum aldigima', 9.0), ('ilk', 1.0)]"
4307,elektrik kablosu bağlantısı bile sanayi tipi kullanım için tasarlanmış. en büyük ocak gözünü tam güç çalıştırdığımızda evdeki tüm lambaların voltajı düşüyor. ,negative,elektrik kablosu bağlantısı bile sanayi tipi kullanım için tasarlanmış en büyük ocak gözünü tam güç çalıştırdığımızda evdeki tüm lambaların voltajı düşüyor,6,"[('lambaların voltajı düşüyor', 9.0), ('tasarlanmış', 1.0)]","[('lambaların voltajı düşüyor', 9.0), ('tasarlanmış', 1.0)]"
4308,eviniz için almanızı tavsiye etmem.,negative,eviniz için almanızı tavsiye etmem,42,"[('almanızı tavsiye etmem', 9.0), ('eviniz', 1.0)]","[('almanızı tavsiye etmem', 9.0), ('eviniz', 1.0)]"
4309,ama sipariş aşaması çok başarılıydı. tahminimden hızlı şekilde teslim edildi. ,negative,ama sipariş aşaması çok başarılıydı tahminimden hızlı şekilde teslim edildi,45,"[('sipariş aşaması', 4.0)]","[('sipariş aşaması', 4.0), ('başarılıydı', 1.0)]"
4310,"ürün bugun elıme gecti . orjinalınde tüple (lpg) ile çalışıcak düzen meme vardı, 4 adet dogal gaz memesi alıp taktım. yanıyor fakat alev yanış sistemi hiç hoşuma gitmedi dagınık yanıyor. bu dogal gaz memesı degiştirdigim ilk ocak degildi 5-6 tane lpğ den dogal gaza geçis ocagı kullandım onlarda sorun yoktu... alacak kullanıcılar bunu  göz onunde bulundursunlar + ben gaz emnıyetı göremedim ocakgı yaktım 4 dk yandı sonra üfleyrek söndürdüm ama gaz kesmedi 3 dk kadar bekledım. sonunda ben kapadım. fiyatı gayet güzel  fakat resimde gördügünüz  ocak kadar zarif degil . ateşlemesinde bi sorun yok. sözüm ona gecici bir zaman için uygun bişey arıyosanız olabılır . fakat kalıcı iyi birşey derseniz tavsiye etmem.",negative,ürün bugün elime geçti orjinalinde tüple lpg ile çalışacak düzen meme vardı adet doğal gaz memesi alıp taktım yanıyor fakat alev yanış sistemi hiç hoşuma gitmedi dağınık yanıyor bu doğal gaz memesi değiştirdiğim ilk ocak değildi tane lpg den doğal gaza geçiş ocağı kullandım onlarda sorun yoktu alacak kullanıcılar bunu göz önün de bulundursunlar + ben gaz emniyeti göremedim ocağı yaktım dk yandı sonra üfleyerek söndürdüm ama gaz kesmedi dk kadar bekledik sonunda ben kapadım fiyatı gayet güzel fakat resimde gördüğünüz ocak kadar zarif değil ateşlemesinde bir sorun yok sözüm ona geçici bir zaman için uygun bir şey arıyorsanız olabilir fakat kalıcı iyi bir şey derseniz tavsiye etmem,13,"[('sorun yok sözüm', 9.0), ('göz önün', 4.0), ('bulundursunlar +', 4.0), ('geçici', 1.0), ('zaman', 1.0), ('uygun', 1.0)]","[('orjinalınde tüple', 4.0), ('alacak kullanıcılar', 4.0), ('lpg', 1.0), ('sonunda', 1.0), ('kapadım', 1.0), ('sözüm', 1.0), ('gecici', 1.0), ('zaman', 1.0)]"
4311,"yemek ısıtmak için ideal sadece,sebze türü yemek yapmak 3 saat üstü sürüyor gerisini siz düşünün.",negative,yemek ısıtmak için ideal sadecesebze türü yemek yapmak saat üstü sürüyor gerisini siz düşünün,39,"[('yemek ısıtmak', 4.0), ('düşünün', 1.0)]","[('yemek ısıtmak', 4.0), ('ideal sadece', 4.0), ('düşünün', 1.0)]"
4312,urun hemen karardı nokta nokta ocak kısımları yanmış gibi oldu ustunde ki malzemenin adı inox kalitesiz saçtan başka birşey değil aldığıma pişman oldum ucuz etin yahnisi yenmiyor anladım bende,negative,ürün hemen karardı nokta nokta ocak kısımları yanmış gibi oldu üstünde ki malzemenin adı Knox kalitesiz saçtan başka bir şey değil aldığıma pişman oldum ucuz etin yahnisi yenmiyor anladım bende,5,"[('oldu üstünde', 4.0)]","[('oldu ustunde', 4.0)]"
4313,bu fi̇yata çokda kötü deği̇l alina bi̇lecek ürün ,negative,bu fiyata çok da kötü değil alına bilecek ürün,25,"[('fiyata', 1.0)]",[]
4314,"kullandıktan 6 ay sonra çakmak kısmı kendi kendine çalışmaya başladı, her kullanımdan sonra fişten çıkarmak zorunda kalıyorum, tavsiye etmiyorum",negative,kullandıktan ay sonra çakmak kısmı kendi kendine çalışmaya başladı her kullanımdan sonra fişten çıkarmak zorunda kalıyorum tavsiye etmiyorum,12,[],"[('tavsiye etmiyorum', 4.0)]"
4315,ürün elime ulaştı ama üstü su icindeydi paketleme ise öle naylonla sarilmış bantlanmiş ,negative,ürün elime ulaştı ama üstü su içindeydi paketleme ise öyle naylonla sarılmış bantlanılmış,32,"[('ürün elime ulaştı', 9.0)]","[('ürün elime ulaştı', 9.0)]"
4316,başka bir siteden aldım göründüğü gibi güzel değilmiş ve kalite yok. ama aldık artık tavsiye etmiyorum,negative,başka bir siteden aldım göründüğü gibi güzel değilmiş ve kalite yok ama aldık artık tavsiye etmiyorum,42,"[('siteden aldım göründüğü', 9.0), ('güzel değilmiş', 4.0), ('kalite yok', 4.0), ('başka', 1.0)]","[('siteden aldım göründüğü', 9.0), ('güzel değilmiş', 4.0), ('kalite yok', 4.0), ('başka', 1.0)]"
4317,öncelikle hepsiburada.com firmasina her zamanki gibi verdigi kusursuz hizmet icin teşekkür etmek isterim.,negative,öncelikle Hepsiburada'cım firmasına her zamanki gibi verdiği kusursuz hizmet için teşekkür etmek isterim,18,"[(""öncelikle hepsiburada'cım firmasına"", 9.0), ('verdiği kusursuz hizmet', 9.0), ('teşekkür etmek isterim', 9.0), ('zamanki', 1.0)]","[('öncelikle hepsiburada', 4.0), ('com firmasina', 4.0), ('zamanki', 1.0)]"
4318,siparişim cok kisa bir sürede orjinal kutusunda hasarsiz ve eksiksiz olarak adresime teslim edildi. hemen siemens servisi ile irtibata geçip kurulum randevumuzu aldik servis te tam söylenen saatte geldi hersey buraya kadar cok guzeldi fakat servis koliyi açınca tam bir hayal kırıklığına ugradim .,negative,siparişim çok kısa bir sürede orjinal kutusunda hasarsız ve eksiksiz olarak adresime teslim edildi hemen siemens servisi ile irtibata geçip kurulum randevumuzu aldık servis te tam söylenen saatte geldi herşey buraya kadar çok güzeldi fakat servis koliyi açınca tam bir hayal kırıklığına uğradım,17,"[('hayal kırıklığına uğradım', 9.0), ('siparişim', 1.0), ('kısa', 1.0)]","[('siparişim cok kisa', 9.0), ('hemen siemens servisi', 9.0), ('hayal kırıklığına ugradim', 9.0)]"
